institute,model,component,property,value
IPSL,IPSL-CM5A-LR,Land Surface > Soil,Scientific Properties > Soil Map > Texture,N/a
IPSL,IPSL-CM5A-LR,Land Surface > Soil,Scientific Properties > Soil Map > Structure,N/a
IPSL,IPSL-CM5A-LR,Land Surface > Soil,Scientific Properties > Soil Map > Albedo,N/a
MPI-M,MPI-ESM-MR,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Lower Level,N/a
IPSL,IPSL-CM5A-MR,Land Surface > Soil,Scientific Properties > Soil Map > Water Table,N/a
MPI-M,MPI-ESM-MR,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lat Min,N/a
MPI-M,MPI-ESM-MR,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lat Max,N/a
MPI-M,MPI-ESM-MR,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lon Min,N/a
MPI-M,MPI-ESM-LR,Land Surface > Carbon Cycle,Scientific Properties > Permafrost > List Of Gases,N/a
MPI-M,MPI-ESM-LR,Land Surface > Soil,Scientific Properties > Soil Map > Structure,N/a
MPI-M,MPI-ESM-LR,Land Surface > Soil,Scientific Properties > Soil Map > Water Table,N/a
MPI-M,MPI-ESM-LR,Land Surface > Soil > Hydrology,Scientific Properties > Soil Moisture Freezing > Number Of Ground Ice Layers,N/a
MPI-M,MPI-ESM-LR,Land Surface > Soil > Hydrology,Scientific Properties > Soil Moisture Freezing > Ice Storage Method,N/a
MPI-M,MPI-ESM-LR,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lat Min,N/a
MPI-M,MPI-ESM-LR,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lat Max,N/a
MPI-M,MPI-ESM-LR,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lon Min,N/a
MPI-M,MPI-ESM-LR,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lon Max,N/a
MPI-M,MPI-ESM-LR,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Upper Level,N/a
MPI-M,MPI-ESM-LR,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lower Level,N/a
MPI-M,MPI-ESM-LR,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Lower Level,N/a
MPI-M,MPI-ESM-P,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lower Level,N/a
MPI-M,MPI-ESM-LR,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lat Min,N/a
MPI-M,MPI-ESM-LR,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lat Max,N/a
MPI-M,MPI-ESM-LR,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Upper Level,N/a
MPI-M,MPI-ESM-MR,Land Surface,Scientific Properties > Basic Approximations,N/a
MPI-M,MPI-ESM-MR,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lat Max,N/a
MPI-M,MPI-ESM-MR,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lon Min,N/a
MPI-M,MPI-ESM-MR,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > List Of Tracers,N/a
MPI-M,MPI-ESM-MR,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lon Max,N/a
MPI-M,MPI-ESM-MR,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Upper Level,N/a
MPI-M,MPI-ESM-MR,Sea Ice > Dynamics,Scientific Properties > Redistribution > Ice Strength Formulation,N/a
MPI-M,MPI-ESM-P,Land Surface > Soil,Scientific Properties > Soil Map > Water Table,N/a
MPI-M,MPI-ESM-P,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Upper Level,N/a
MPI-M,MPI-ESM-MR,Land Surface > Soil,Scientific Properties > Soil Map > Structure,N/a
MPI-M,MPI-ESM-MR,Land Surface > Soil,Scientific Properties > Soil Map > Water Table,N/a
MPI-M,MPI-ESM-P,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lat Max,N/a
MPI-M,MPI-ESM-P,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lon Min,N/a
MPI-M,MPI-ESM-P,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lon Max,N/a
MPI-M,MPI-ESM-P,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Upper Level,N/a
MPI-M,MPI-ESM-P,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lower Level,N/a
MPI-M,MPI-ESM-MR,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lon Max,N/a
MPI-M,MPI-ESM-P,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lon Min,N/a
MPI-M,MPI-ESM-P,Land Surface > Carbon Cycle,Scientific Properties > Permafrost > List Of Gases,N/a
MPI-M,MPI-ESM-MR,Land Surface > Soil > Hydrology,Scientific Properties > Soil Moisture Freezing > Ice Storage Method,N/a
MPI-M,MPI-ESM-P,Land Surface > Soil,Scientific Properties > Soil Map > Structure,N/a
CNRM-CERFACS,CNRM-CM5,Ocean > Lateral Physics > Momentum,Scientific Properties > Eddy Viscosity Coefficient > Minimal Background Value,N/a
CNRM-CERFACS,CNRM-CM5,Ocean > Vertical Physics > Mixed Layer,Scientific Properties > Momentum > Background Value,N/a
MPI-M,MPI-ESM-P,Land Surface > Soil > Hydrology,Scientific Properties > Soil Moisture Freezing > Number Of Ground Ice Layers,N/a
MPI-M,MPI-ESM-P,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lat Min,N/a
MPI-M,MPI-ESM-P,Ocean,Scientific Properties > Ocean Nudging > Momentum Damping > Lower Level,N/a
MPI-M,MPI-ESM-MR,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lat Min,N/a
MPI-M,MPI-ESM-MR,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Upper Level,N/a
EC-EARTH,EC-EARTH,Land Surface > Carbon Cycle,Scientific Properties > Soil > Number Of Carbon Pools,N/a
EC-EARTH,EC-EARTH,Land Surface > Carbon Cycle,Scientific Properties > Soil > List Of Carbon Pools,N/a
EC-EARTH,EC-EARTH,Land Surface > Carbon Cycle,Scientific Properties > Permafrost > List Of Gases,N/a
EC-EARTH,EC-EARTH,Ocean > Lateral Physics > Tracers,Scientific Properties > Eddy Viscosity Coefficient > Background Value,N/a
MPI-M,MPI-ESM-P,Sea Ice > Dynamics,Scientific Properties > Redistribution > Ice Strength Formulation,N/a
MPI-M,MPI-ESM-LR,Sea Ice > Dynamics,Scientific Properties > Redistribution > Ice Strength Formulation,N/a
MPI-M,MPI-ESM-MR,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lower Level,N/a
IPSL,IPSL-CM5A-LR,Land Surface > Soil,Scientific Properties > Soil Map > Water Table,N/a
MPI-M,MPI-ESM-MR,Land Surface > Soil > Hydrology,Scientific Properties > Soil Moisture Freezing > Number Of Ground Ice Layers,N/a
MPI-M,MPI-ESM-LR,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lon Max,N/a
MPI-M,MPI-ESM-P,Land Surface > Soil > Hydrology,Scientific Properties > Soil Moisture Freezing > Ice Storage Method,N/a
IPSL,IPSL-CM5A-MR,Land Surface > Soil,Scientific Properties > Soil Map > Texture,N/a
IPSL,IPSL-CM5A-MR,Land Surface > Soil,Scientific Properties > Soil Map > Albedo,N/a
MPI-M,MPI-ESM-P,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lat Max,N/a
MPI-M,MPI-ESM-MR,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lower Level,N/a
MPI-M,MPI-ESM-P,Ocean,Scientific Properties > Ocean Nudging > Tracers Damping > Lon Max,N/a
MPI-M,MPI-ESM-LR,Land Surface,Scientific Properties > Basic Approximations,N/a
IPSL,IPSL-CM5A-MR,Land Surface > Soil,Scientific Properties > Soil Map > Structure,N/a
MOHC,HADGEM2-CC,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > Concentrations > Prescribed Lower Boundary,N/a
MPI-M,MPI-ESM-P,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > List Of Tracers,N/a
MPI-M,MPI-ESM-P,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lat Min,N/a
MPI-M,MPI-ESM-P,Land Surface,Scientific Properties > Basic Approximations,N/a
MPI-M,MPI-ESM-LR,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > List Of Tracers,N/a
MPI-M,MPI-ESM-LR,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lon Min,N/a
MPI-M,MPI-ESM-LR,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lower Level,N/a
MOHC,HADGEM2-CC,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lat Min,N/a
MOHC,HADGEM2-CC,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lat Max,N/a
MOHC,HADGEM2-CC,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lon Min,N/a
MOHC,HADGEM2-CC,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lon Max,N/a
MOHC,HADGEM2-CC,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Upper Level,N/a
MOHC,HADGEM2-CC,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lower Level,N/a
MOHC,HADGEM2-ES,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lat Min,N/a
MOHC,HADGEM2-ES,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lat Max,N/a
MOHC,HADGEM2-ES,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lon Min,N/a
MOHC,HADGEM2-ES,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lon Max,N/a
MOHC,HADGEM2-ES,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Upper Level,N/a
MOHC,HADGEM2-ES,Ocean Bio-Geo Chemistry,Scientific Properties > Bio Geo Tracers Damping > Lower Level,N/a
BCC,BCC-CSM1.1,Atmosphere > Radiation,Scientific Properties > G H G- Types,N2O
CSIRO-BOM,ACCESS1.0,Atmosphere > Radiation,Scientific Properties > G H G- Types,N2O
INM,INM-CM4,Atmosphere > Radiation,Scientific Properties > G H G- Types,N2O
IPSL,IPSL-CM5A-MR,Atmosphere > Radiation,Scientific Properties > G H G- Types,N2O
CSIRO-BOM,ACCESS1.3,Atmosphere > Radiation,Scientific Properties > G H G- Types,N2O
MPI-M,MPI-ESM-LR,Atmosphere > Radiation,Scientific Properties > G H G- Types,N2O
NCEP,CFSV2-2011,Atmosphere > Radiation,Scientific Properties > G H G- Types,N2O
MPI-M,MPI-ESM-MR,Atmosphere > Radiation,Scientific Properties > G H G- Types,N2O
CMCC,CMCC-CESM,Atmosphere > Radiation,Scientific Properties > G H G- Types,N2O
CMCC,CMCC-CM,Atmosphere > Radiation,Scientific Properties > G H G- Types,N2O
CMCC,CMCC-CMS,Atmosphere > Radiation,Scientific Properties > G H G- Types,N2O
MRI,MRI-AGCM3.2H,Atmosphere > Radiation,Scientific Properties > G H G- Types,N2O
CNRM-CERFACS,CNRM-CM5,Atmosphere > Radiation,Scientific Properties > G H G- Types,N2O
MRI,MRI-CGCM3,Atmosphere > Radiation,Scientific Properties > G H G- Types,N2O
CSIRO-QCCCE,CSIRO-MK3.6.0,Atmosphere > Radiation,Scientific Properties > G H G- Types,N2O
MRI,MRI-ESM1,Atmosphere > Radiation,Scientific Properties > G H G- Types,N2O
EC-EARTH,EC-EARTH,Atmosphere > Radiation,Scientific Properties > G H G- Types,N2O
NOAA-GFDL,GFDL-CM2P1,Atmosphere > Radiation,Scientific Properties > G H G- Types,N2O
NOAA-GFDL,GFDL-CM3,Atmosphere > Radiation,Scientific Properties > G H G- Types,N2O
NOAA-GFDL,GFDL-ESM2G,Atmosphere > Radiation,Scientific Properties > G H G- Types,N2O
IPSL,IPSL-CM5A-LR,Atmosphere > Radiation,Scientific Properties > G H G- Types,N2O
NOAA-GFDL,GFDL-ESM2M,Atmosphere > Radiation,Scientific Properties > G H G- Types,N2O
NOAA-GFDL,GFDL-HIRAM-C180,Atmosphere > Radiation,Scientific Properties > G H G- Types,N2O
NOAA-GFDL,GFDL-HIRAM-C360,Atmosphere > Radiation,Scientific Properties > G H G- Types,N2O
NASA-GISS,GISS-E2-H,Atmosphere > Radiation,Scientific Properties > G H G- Types,N2O
MRI,MRI-AGCM3.2S,Atmosphere > Radiation,Scientific Properties > G H G- Types,N2O
NASA-GISS,GISS-E2-H-CC,Atmosphere > Radiation,Scientific Properties > G H G- Types,N2O
NASA-GISS,GISS-E2-R,Atmosphere > Radiation,Scientific Properties > G H G- Types,N2O
NASA-GISS,GISS-E2-R-CC,Atmosphere > Radiation,Scientific Properties > G H G- Types,N2O
NASA-GISS,GISS-E2CS-H,Atmosphere > Radiation,Scientific Properties > G H G- Types,N2O
NASA-GISS,GISS-E2CS-R,Atmosphere > Radiation,Scientific Properties > G H G- Types,N2O
MOHC,HADCM3,Atmosphere > Radiation,Scientific Properties > G H G- Types,N2O
MPI-M,MPI-ESM-P,Atmosphere > Radiation,Scientific Properties > G H G- Types,N2O
MOHC,HADGEM2-A,Atmosphere > Radiation,Scientific Properties > G H G- Types,N2O
MOHC,HADGEM2-CC,Atmosphere > Radiation,Scientific Properties > G H G- Types,N2O
NCC,NORESM1-M,Atmosphere > Radiation,Scientific Properties > G H G- Types,N2O
NCC,NORESM1-ME,Atmosphere > Radiation,Scientific Properties > G H G- Types,N2O
MOHC,HADGEM2-ES,Atmosphere > Radiation,Scientific Properties > G H G- Types,N2O
INPE,HADGEM2-ES,Atmosphere > Radiation,Scientific Properties > G H G- Types,N2O
NOAA-GFDL,GFDL-CM3,Atmospheric Chemistry > Heterogen Chemistry > Stratospheric,Scientific Properties > Species > Aerosol,NAT (nitric acid trihydrate)
NASA-GISS,GISS-E2-H,Atmospheric Chemistry > Heterogen Chemistry > Stratospheric,Scientific Properties > Species > Aerosol,NAT (nitric acid trihydrate)
NASA-GISS,GISS-E2-H-CC,Atmospheric Chemistry > Heterogen Chemistry > Stratospheric,Scientific Properties > Species > Aerosol,NAT (nitric acid trihydrate)
NASA-GISS,GISS-E2-R,Atmospheric Chemistry > Heterogen Chemistry > Stratospheric,Scientific Properties > Species > Aerosol,NAT (nitric acid trihydrate)
NASA-GISS,GISS-E2-R-CC,Atmospheric Chemistry > Heterogen Chemistry > Stratospheric,Scientific Properties > Species > Aerosol,NAT (nitric acid trihydrate)
NASA-GISS,GISS-E2CS-H,Atmospheric Chemistry > Heterogen Chemistry > Stratospheric,Scientific Properties > Species > Aerosol,NAT (nitric acid trihydrate)
NASA-GISS,GISS-E2CS-R,Atmospheric Chemistry > Heterogen Chemistry > Stratospheric,Scientific Properties > Species > Aerosol,NAT (nitric acid trihydrate)
MRI,MRI-ESM1,Atmospheric Chemistry > Heterogen Chemistry > Stratospheric,Scientific Properties > Species > Aerosol,NAT (nitric acid trihydrate)
NCEP,CFSV2-2011,Sea Ice,Standard Properties > Long Name,NCEP Sea Ice Model
NCEP,CFSV2-2011,Sea Ice > Dynamics,Standard Properties > Long Name,NCEP Sea Ice Model
NCEP,CFSV2-2011,Sea Ice > Thermodynamics,Standard Properties > Long Name,NCEP Sea Ice Model
CNRM-CERFACS,CNRM-CM5,Ocean,Standard Properties > Short Name,NEMO
IPSL,IPSL-CM5A-MR,Sea Ice,Standard Properties > Long Name,NEMO /Louvain La Neuve Sea Ice Model version 2
IPSL,IPSL-CM5A-LR,Sea Ice,Standard Properties > Long Name,NEMO /Louvain La Neuve Sea Ice Model version 2
IPSL,IPSL-CM5A-MR,Ocean Bio-Geo Chemistry,Standard Properties > Long Name,NEMO : Nucleus for European Modelling of the Ocean (TOP/PISCES)
IPSL,IPSL-CM5A-LR,Ocean Bio-Geo Chemistry,Standard Properties > Long Name,NEMO : Nucleus for European Modelling of the Ocean (TOP/PISCES)
IPSL,IPSL-CM5A-LR,Ocean,Standard Properties > Long Name,NEMO : Nucleus for European Modelling of the Ocean version 3.2 (OPA)
IPSL,IPSL-CM5A-MR,Ocean,Standard Properties > Long Name,NEMO : Nucleus for European Modelling of the Ocean version 3.2 (OPA)
EC-EARTH,EC-EARTH,Ocean,Standard Properties > Short Name,NEMO_ecmwf
MRI,MRI-ESM1,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > 3D-Emissions > Interactiv Emitted Species,NO
MRI,MRI-ESM1,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > 2D-Emissions > Clim Emitted Species,"NO, CO, C2H6, C3H8, C2H4, C3H6, C4H10, CH3COCH3, ISOPRENE, C10H16"
MRI,MRI-ESM1,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > 2D-Emissions > Emitted Species,"NO, CO, C2H6, C3H8, C2H4, C3H6, C4H10, CH3COCH3, ISOPRENE,C10H16,CH2O"
MRI,MRI-ESM1,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > 3D-Emissions > Emitted Species,"NO, NO2,CO, C2H6, C3H8, C2H4, C3H6, C4H10, CH3COCH3,CH2O"
MOHC,HADGEM2-ES,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > 3D-Emissions > Emitted Species,NOx
MOHC,HADGEM2-ES,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > 3D-Emissions > Interactiv Emitted Species,NOx (nitrogen oxides)
INPE,HADGEM2-ES,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > 3D-Emissions > Interactiv Emitted Species,NOx (nitrogen oxides)
NASA-GISS,GISS-E2-H,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > 3D-Emissions > Interactiv Emitted Species,NOx lightning
NASA-GISS,GISS-E2-H-CC,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > 3D-Emissions > Interactiv Emitted Species,NOx lightning
NASA-GISS,GISS-E2-R,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > 3D-Emissions > Interactiv Emitted Species,NOx lightning
NASA-GISS,GISS-E2-R-CC,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > 3D-Emissions > Interactiv Emitted Species,NOx lightning
NASA-GISS,GISS-E2CS-H,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > 3D-Emissions > Interactiv Emitted Species,NOx lightning
NASA-GISS,GISS-E2CS-R,Atmospheric Chemistry > Emission & Concentration,Scientific Properties > 3D-Emissions > Interactiv Emitted Species,NOx lightning
NASA-GISS,GISS-E2-H,Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Scientific Properties > Species > Gas Phase,"NOx, SO2, N2O5, HNO3"
NASA-GISS,GISS-E2-H-CC,Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Scientific Properties > Species > Gas Phase,"NOx, SO2, N2O5, HNO3"
NASA-GISS,GISS-E2-R,Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Scientific Properties > Species > Gas Phase,"NOx, SO2, N2O5, HNO3"
NASA-GISS,GISS-E2-R-CC,Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Scientific Properties > Species > Gas Phase,"NOx, SO2, N2O5, HNO3"
NASA-GISS,GISS-E2CS-H,Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Scientific Properties > Species > Gas Phase,"NOx, SO2, N2O5, HNO3"
NASA-GISS,GISS-E2CS-R,Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,Scientific Properties > Species > Gas Phase,"NOx, SO2, N2O5, HNO3"
MRI,MRI-ESM1,Atmospheric Chemistry > Gas Phase Chemistry,Scientific Properties > Atm Gas Phase Chemistry Attributes > Species,NOy
MRI,MRI-ESM1,Atmospheric Chemistry > Heterogen Chemistry > Stratospheric,Scientific Properties > Species > Gas Phase,NOy
NOAA-GFDL,GFDL-CM3,Atmospheric Chemistry > Gas Phase Chemistry,Scientific Properties > Atm Gas Phase Chemistry Attributes > Species,NOy
NOAA-GFDL,GFDL-CM3,Atmospheric Chemistry > Heterogen Chemistry > Stratospheric,Scientific Properties > Species > Gas Phase,NOy
NASA-GISS,GISS-E2-H,Atmospheric Chemistry > Gas Phase Chemistry,Scientific Properties > Atm Gas Phase Chemistry Attributes > Species,NOy
NASA-GISS,GISS-E2-H,Atmospheric Chemistry > Heterogen Chemistry > Stratospheric,Scientific Properties > Species > Gas Phase,NOy
NASA-GISS,GISS-E2-H-CC,Atmospheric Chemistry > Gas Phase Chemistry,Scientific Properties > Atm Gas Phase Chemistry Attributes > Species,NOy
NASA-GISS,GISS-E2-H-CC,Atmospheric Chemistry > Heterogen Chemistry > Stratospheric,Scientific Properties > Species > Gas Phase,NOy
NASA-GISS,GISS-E2-R,Atmospheric Chemistry > Gas Phase Chemistry,Scientific Properties > Atm Gas Phase Chemistry Attributes > Species,NOy
NASA-GISS,GISS-E2-R,Atmospheric Chemistry > Heterogen Chemistry > Stratospheric,Scientific Properties > Species > Gas Phase,NOy
NASA-GISS,GISS-E2-R-CC,Atmospheric Chemistry > Gas Phase Chemistry,Scientific Properties > Atm Gas Phase Chemistry Attributes > Species,NOy
NASA-GISS,GISS-E2-R-CC,Atmospheric Chemistry > Heterogen Chemistry > Stratospheric,Scientific Properties > Species > Gas Phase,NOy
NASA-GISS,GISS-E2CS-H,Atmospheric Chemistry > Gas Phase Chemistry,Scientific Properties > Atm Gas Phase Chemistry Attributes > Species,NOy
NASA-GISS,GISS-E2CS-H,Atmospheric Chemistry > Heterogen Chemistry > Stratospheric,Scientific Properties > Species > Gas Phase,NOy
NASA-GISS,GISS-E2CS-R,Atmospheric Chemistry > Gas Phase Chemistry,Scientific Properties > Atm Gas Phase Chemistry Attributes > Species,NOy
